,timestamp,traceid,service,rpcid,rpctype,um,uminstanceid,interface,dm,dminstanceid,rt
1,18402,T_8084725837,S_157549286,0.1.2.20,rpc,MS_57555,MS_57555_POD_76,vs2nQhH1hq,MS_23205,MS_23205_POD_3362,1.0
0,46296,T_4044354512,S_108692506,0.3,rpc,MS_54249,MS_54249_POD_130,E2I8Iz9Y66,MS_61372,MS_61372_POD_127,1.0
0,145230,T_8084712780,S_51573922,0.1.2,rpc,MS_41766,MS_41766_POD_752,16Xd3-nf8n,MS_41766,MS_41766_POD_752,2.0
0,19740,T_8084709379,S_94080819,0.1,rpc,UNAVAILABLE,UNAVAILABLE,yr9EiVk9AQ,MS_41385,MS_41385_POD_2016,1.0
0,68740,T_8084663828,S_82105897,0.1.2,rpc,MS_39620,MS_39620_POD_143,xC2u_RX21J,UNKNOWN,UNKNOWN,1.0
0,156842,T_8084642972,S_10217929,0.1.2,rpc,MS_22973,MS_22973_POD_38,J9g_EHi04o,MS_22973,MS_22973_POD_38,2.0
0,13872,T_8084639199,S_61153904,0.1.2,rpc,MS_26447,MS_26447_POD_182,YfLC3ZeuNY,MS_26447,UNKNOWN,3.0
1,13873,T_8084639199,S_61153904,0.1.2.1,rpc,MS_26447,MS_26447_POD_182,vs2nQhH1hq,MS_53745,MS_53745_POD_143,2.0
0,79929,T_8084616772,S_108698698,0.1.2,rpc,MS_57715,MS_57715_POD_3,t3ErktcGbs,MS_57715,UNKNOWN,5.0
1,79929,T_8084616772,S_108698698,0.1.2.1,rpc,MS_57715,MS_57715_POD_3,ob2nLNkiuR,UNKNOWN,UNKNOWN,5.0
0,155583,T_8084603581,S_41640394,0.1.2,rpc,MS_53171,MS_53171_POD_209,20DJuSFaad,MS_53171,UNKNOWN,2.0
0,114595,T_8084506331,S_61153904,0.1.2,rpc,MS_26447,MS_26447_POD_175,YfLC3ZeuNY,MS_26447,MS_26447_POD_175,1.0
1,114595,T_8084506331,S_61153904,0.1.2.1,rpc,MS_26447,MS_26447_POD_175,vs2nQhH1hq,MS_53745,MS_53745_POD_210,1.0
0,58598,T_4930103271,S_130831269,0.1,rpc,MS_19017,MS_19017_POD_614,Tfnc-ENibi,MS_19017,MS_19017_POD_614,1.0
0,124449,T_20886042284,S_88517644,0.1.19,rpc,MS_47688,MS_47688_POD_78,MNLF4BVWB1,MS_16432,MS_16432_POD_16,11.0
1,124414,T_20886042284,S_88517644,0.1.1,rpc,MS_47688,MS_47688_POD_78,R03KJIhJmT,MS_15266,MS_15266_POD_41,2.0
2,124416,T_20886042284,S_88517644,0.1.2,rpc,MS_47688,MS_47688_POD_78,R03KJIhJmT,MS_15266,MS_15266_POD_1,1.0
0,95634,T_8084432799,S_1835058,0.1.1,rpc,MS_27239,MS_27239_POD_668,6caPhCFmLc,MS_27239,MS_27239_POD_668,38.0
1,95634,T_8084432799,S_1835058,0.1.1.1,rpc,MS_27239,MS_27239_POD_668,3w4gToVkLB,MS_15934,MS_15934_POD_177933,38.0
0,121965,T_8084338079,S_94913627,0.1,rpc,MS_67515,MS_67515_POD_386,xwoaM4dd1n,MS_73390,MS_73390_POD_571,50.0
1,122006,T_8084338079,S_94913627,0.1.5,rpc,MS_73390,MS_73390_POD_571,WbY4aUJfXy,MS_19630,MS_19630_POD_163,8.0
0,31257,T_8084316063,S_60708701,0.1.1.3,rpc,MS_44019,MS_44019_POD_2,b6e8FTF1fe,MS_29653,MS_29653_POD_44,1.0
1,31256,T_8084316063,S_60708701,0.1.1.1,rpc,MS_44019,MS_44019_POD_2,Trm_Qxwcnh,MS_6670,MS_6670_POD_71,1.0
2,31259,T_8084316063,S_60708701,0.1.1.4,rpc,MS_44019,MS_44019_POD_2,KPHnKiGud_,MS_6670,MS_6670_POD_14,1.0
0,14588,T_8084272218,S_133162609,0.1,rpc,UNAVAILABLE,UNAVAILABLE,eaLKHUJp5p,MS_23689,MS_23689_POD_9,1.0
0,82917,T_8084223587,S_67739215,0.1.1.2,rpc,MS_58782,MS_58782_POD_1404,H93JL1mNvb,MS_58782,UNKNOWN,1.0
1,82917,T_8084223587,S_67739215,0.1.1.2.4,rpc,MS_58782,MS_58782_POD_1404,tG4AEYijKU,MS_58782,MS_58782_POD_1404,1.0
0,88092,T_4044508540,S_122984786,0.1.3,rpc,MS_54249,MS_54249_POD_35,E2I8Iz9Y66,MS_61372,MS_61372_POD_49,1.0
0,7686,T_8084205361,S_164980618,0.1.3,rpc,MS_60860,MS_60860_POD_332,FJaHbupnBP,MS_60860,MS_60860_POD_332,17.0
1,7682,T_8084205361,S_164980618,0.1.2,rpc,MS_60860,MS_60860_POD_332,st2y8XZKUA,MS_5449,MS_5449_POD_714,3.0
2,7702,T_8084205361,S_164980618,0.1.3.5,rpc,MS_60860,MS_60860_POD_332,28Qqe9o9Wd,MS_60860,MS_60860_POD_332,1.0
